facility_id,avg_drv_time_sec,avg_drv_time_hrs,avg_dist,median_dist,min_dist,max_dist,address_count
Crosstown Elementary,146,00:02:26,1.02,0.96,0.0,3.44,632
St Patrick Regional Secondary,141,00:02:21,0.89,0.88,0.0,1.8,858
General Wolfe Elementary,99,00:01:39,0.55,0.52,0.0,1.25,595
The Westside School,165,00:02:45,1.58,1.66,0.56,2.69,52
St Patrick's Elementary,127,00:02:07,0.87,0.84,0.0,1.64,676
Simon Fraser Elementary,97,00:01:37,0.71,0.71,0.14,1.25,810
False Creek Elementary,166,00:02:46,1.1,0.95,0.0,4.07,139
Admiral Seymour StrongStart Centre,109,00:01:49,0.69,0.64,0.0,7.59,557
Pattison High School,122,00:02:02,0.85,0.86,0.0,1.68,428
Charles Dickens Elementary,116,00:01:56,0.68,0.67,0.0,1.32,607
Mount Pleasant StrongStart Centre,123,00:02:03,0.82,0.83,0.0,1.44,325
Elsie Roy Elementary,134,00:02:14,1.05,1.02,0.0,4.0,207
Lord Roberts Elementary,96,00:01:36,0.64,0.61,0.0,1.41,273
Lord Strathcona Community Elementary,130,00:02:10,0.76,0.69,0.0,2.92,1159
L'Ecole Bilingue Elementary,139,00:02:19,0.98,0.93,0.15,2.35,858
Alexander Academy,106,00:01:46,0.68,0.63,0.0,2.99,468
Florence Nightingale StrongStart Centre,139,00:02:19,1.15,1.18,0.02,2.17,1083
Charles Dickens Annex,115,00:01:55,0.63,0.62,0.09,1.28,515
Sir Alexander Mackenzie Elementary,119,00:01:59,0.66,0.65,0.17,1.63,1031
BC Children's Adol. Psych. Unit,129,00:02:09,0.8,0.78,0.0,1.55,133
Sir Richard McBride Annex,129,00:02:09,0.9,0.86,0.01,1.79,1401
Vancouver Talmud Torah Elementary,127,00:02:07,1.11,1.11,0.0,2.1,438
Westside Montessori,103,00:01:43,0.66,0.67,0.0,1.13,278
Anchor Point Montessori,118,00:01:58,0.9,0.78,0.0,3.31,399
Lord Roberts Annex,151,00:02:31,0.96,0.94,0.02,1.72,157
King David High School,124,00:02:04,0.93,0.96,0.25,1.54,309
David Livingstone Elementary,111,00:01:51,0.79,0.74,0.06,1.73,1344
King George Secondary,102,00:01:42,0.7,0.66,0.11,1.7,540
Vancouver College,119,00:01:59,0.7,0.72,0.0,1.59,274
Britannia Community Elementary,111,00:01:51,0.69,0.66,0.61,0.84,26
Sir Wm Van Horne Elementary,142,00:02:22,0.8,0.79,0.36,1.93,340
Emily Carr Elementary,104,00:01:44,0.5,0.53,0.01,0.91,183
General Brock Elementary,89,00:01:29,0.75,0.74,0.0,1.87,1330
Grandview Elementary,144,00:02:24,1.05,0.85,0.56,2.35,84
Edith Cavell Elementary,105,00:01:45,0.58,0.54,0.01,1.25,856
Peak House,115,00:01:55,0.94,0.8,0.0,3.7,898
Sir Richard McBride Elementary,118,00:01:58,0.86,0.84,0.21,1.64,992
Stratford Hall,120,00:02:00,0.8,0.79,0.0,1.95,813
Tyee Elementary,99,00:01:39,0.59,0.57,0.0,1.59,403
York House School,146,00:02:26,0.93,0.93,0.0,1.94,612
Britannia Community Secondary,146,00:02:26,1.02,1.02,1.02,1.02,1
Queen Alexandra StrongStart Centre,135,00:02:15,0.63,0.64,0.01,1.55,157
Lord Selkirk StrongStart Centre,122,00:02:02,0.72,0.68,0.0,1.55,957
Columbia College,112,00:01:52,0.78,0.62,0.0,2.02,105
Sir Sandford Fleming Elementary,160,00:02:40,1.37,1.36,1.07,1.61,34
Tecumseh Annex,135,00:02:15,0.78,0.72,0.0,1.83,1368
Lord Selkirk Annex,120,00:02:00,0.74,0.73,0.27,1.33,176
St Joseph's,123,00:02:03,0.68,0.67,0.0,1.17,65
Canuck Place School Program,140,00:02:20,1.18,1.21,0.0,2.14,323
Little Flower Academy,112,00:01:52,0.74,0.83,0.0,1.06,27
Quilchena Elementary,112,00:01:52,0.67,0.62,0.0,1.56,418
Century High School,68,00:01:08,0.48,0.38,0.0,0.83,7
Henry Hudson Elementary,108,00:01:48,1.0,0.84,0.69,2.63,23
York House Little School,105,00:01:45,0.6,0.58,0.01,1.18,170
St John's International,123,00:02:03,0.83,0.94,0.24,1.15,56
Tecumseh Elementary,96,00:01:36,0.61,0.67,0.23,0.87,47
St Francis Xavier,77,00:01:17,0.52,0.52,0.0,2.03,151
Laura Secord Elementary,102,00:01:42,0.55,0.58,0.04,0.97,196
Blessed Sacrament School,115,00:01:55,0.7,0.73,0.0,1.22,467
Gladstone Secondary,103,00:01:43,0.63,0.58,0.08,1.39,516
Point Grey Secondary,149,00:02:29,0.75,0.64,0.0,1.15,27
Lord Beaconsfield Elementary,139,00:02:19,0.92,0.9,0.51,1.32,258
G T Cunningham Elementary,146,00:02:26,0.72,0.68,0.18,1.66,503
John Oliver Secondary,120,00:02:00,0.81,0.82,0.47,1.14,149
Corpus Christi School,172,00:02:52,1.48,1.52,1.32,1.57,5
John Norquay Elementary,148,00:02:28,0.96,0.96,0.93,1.0,6
Westside Montessori Academy,176,00:02:56,1.38,1.37,1.2,1.68,36
Vancouver Technical Secondary,94,00:01:34,0.71,0.71,0.67,0.76,2
Sir William Osler Elementary,198,00:03:18,1.19,1.19,1.19,1.19,1
