address,albers_x,albers_y,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1 ALEXANDER ST, VANCOUVER, BC",1210833,478461,Crosstown Elementary,1210665,477892,140.0719795437927,00:02:20,1.101,schools
"1 ATHLETES WAY, VANCOUVER, BC",1210760,477135,Crosstown Elementary,1210665,477892,199.5434226928383,00:03:19,1.581,schools
"1 E BROADWAY, VANCOUVER, BC",1210877,476187,St Patrick Regional Secondary,1211034,475992,99.92729292946893,00:01:39,0.609,schools
"1 E CORDOVA ST, VANCOUVER, BC",1210855,478339,Crosstown Elementary,1210665,477892,130.4816782246342,00:02:10,1.09,schools
"1 E PENDER ST, VANCOUVER, BC",1210839,478124,Crosstown Elementary,1210665,477892,47.68904558120364,00:00:47,0.412,schools
"1 MAIN NORTH FOOT, VANCOUVER, BC",1211178,478730,Crosstown Elementary,1210665,477892,218.4344012874926,00:03:38,1.713,schools
"1 PEVERIL AV, VANCOUVER, BC",1210899,474140,General Wolfe Elementary,1210854,474408,72.76158246393844,00:01:12,0.465,schools
"1 ROBSON ST, VANCOUVER, BC",1210313,477648,The Westside School,1210172,477754,60.82056215166378,00:01:00,0.541,schools
"1 W 7TH AV, VANCOUVER, BC",1210839,476377,St Patrick Regional Secondary,1211034,475992,101.50388702586697,00:01:41,0.801,schools
"10 E 11TH AV, VANCOUVER, BC",1210880,475928,St Patrick's Elementary,1211054,475810,83.9708911465218,00:01:23,0.545,schools
"10 E 11TH AV, VANCOUVER, BC",1210895,475935,St Patrick's Elementary,1211054,475810,83.9708911465218,00:01:23,0.545,schools
"10 E 26TH AV, VANCOUVER, BC",1210943,474489,General Wolfe Elementary,1210854,474408,73.97268036301573,00:01:13,0.278,schools
"10 E PENDER ST, VANCOUVER, BC",1210901,478027,Crosstown Elementary,1210665,477892,49.733794992420684,00:00:49,0.336,schools
"10 W 14TH AV, VANCOUVER, BC",1210849,475629,Simon Fraser Elementary,1210646,475505,48.595318491095625,00:00:48,0.395,schools
"100 E CORDOVA ST, VANCOUVER, BC",1210985,478288,Crosstown Elementary,1210665,477892,120.42076682579335,00:02:00,0.718,schools
"100 E PENDER ST, VANCOUVER, BC",1210984,478077,Crosstown Elementary,1210665,477892,69.30543623866565,00:01:09,0.574,schools
"100 POWELL ST, VANCOUVER, BC",1210992,478389,Crosstown Elementary,1210665,477892,118.95966386618446,00:01:58,0.953,schools
"100 W 13TH AV, VANCOUVER, BC",1210708,475727,Simon Fraser Elementary,1210646,475505,88.38237360777892,00:01:28,0.636,schools
"100 W 15TH AV, VANCOUVER, BC",1210632,475505,Simon Fraser Elementary,1210646,475505,70.85423059692023,00:01:10,0.558,schools
"1000 IRONWORK PASSAGE, VANCOUVER, BC",1209119,476606,False Creek Elementary,1209243,476553,101.2903425845552,00:01:41,0.294,schools
"1000 PARKER ST, VANCOUVER, BC",1212590,477606,Admiral Seymour StrongStart Centre,1212578,477967,91.42852313860914,00:01:31,0.56,schools
"1000 ROBSON ST, VANCOUVER, BC",1209430,478365,Pattison High School,1209307,478110,54.994708344653844,00:00:54,0.417,schools
"1001 E 20TH AV, VANCOUVER, BC",1212475,475104,Charles Dickens Elementary,1212535,475325,88.37442195319903,00:01:28,0.36,schools
"1001 E 7TH AV, VANCOUVER, BC",1212283,476500,Mount Pleasant StrongStart Centre,1211649,476302,118.86982849230424,00:01:58,0.876,schools
"1001 E 7TH AV, VANCOUVER, BC",1212421,476417,Mount Pleasant StrongStart Centre,1211649,476302,118.86982849230424,00:01:58,0.876,schools
"1001 E PENDER ST, VANCOUVER, BC",1212429,478153,Admiral Seymour StrongStart Centre,1212578,477967,109.63542333546647,00:01:49,0.569,schools
"1001 HOMER ST, VANCOUVER, BC",1209638,477702,Elsie Roy Elementary,1209538,477136,111.11986128575627,00:01:51,0.859,schools
"1001 HORNBY ST, VANCOUVER, BC",1209252,478061,Pattison High School,1209307,478110,75.12387001841054,00:01:15,0.529,schools
"1001 HORNBY ST, VANCOUVER, BC",1209280,478034,Pattison High School,1209307,478110,75.12387001841054,00:01:15,0.529,schools
"1001 KINGSWAY, VANCOUVER, BC",1212459,475240,Charles Dickens Elementary,1212535,475325,66.00978373702885,00:01:06,0.203,schools
"1001 KINGSWAY, VANCOUVER, BC",1212479,475229,Charles Dickens Elementary,1212535,475325,66.00978373702885,00:01:06,0.203,schools
"1001 KINGSWAY, VANCOUVER, BC",1212469,475233,Charles Dickens Elementary,1212535,475325,66.00978373702885,00:01:06,0.203,schools
"1001 NICOLA ST, VANCOUVER, BC",1208578,478681,Lord Roberts Elementary,1208355,478705,64.30765284372397,00:01:04,0.435,schools
"1001 POWELL ST, VANCOUVER, BC",1212452,478423,Lord Strathcona Community Elementary,1211760,478069,134.4908260995232,00:02:14,1.06,schools
"1001 RICHARDS ST, VANCOUVER, BC",1209569,477772,Elsie Roy Elementary,1209538,477136,123.90566884873733,00:02:03,0.955,schools
"1001 ROBSON ST, VANCOUVER, BC",1209452,478400,Pattison High School,1209307,478110,91.28591791532236,00:01:31,0.726,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209495,477836,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209505,477847,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209510,477853,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 VENABLES ST, VANCOUVER, BC",1212444,477792,Admiral Seymour StrongStart Centre,1212578,477967,85.15330097892371,00:01:25,0.469,schools
"1001 W BROADWAY, VANCOUVER, BC",1209227,476174,L'Ecole Bilingue Elementary,1209026,475541,105.97270646216325,00:01:45,0.963,schools
"1001 W BROADWAY, VANCOUVER, BC",1209254,476174,L'Ecole Bilingue Elementary,1209026,475541,105.97270646216325,00:01:45,0.963,schools
